DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,RESD= Rt,RESM,SP,TENS,,porosity,log rt,calculated log rt,,,
312.1152,20,19.8287,2.1441,0.0377453,152.6369,67.4206,0.393675,24.4174,20.7556,62.8357,222.2603,0.5059,0.306606061,1.387699418,-2.60997956,,,
312.2676,20,19.6548,2.1341,0.0396546,153.5394,66.753,0.394841,24.6297,21.1988,63.0306,222.2603,0.5159,0.312666667,1.391459122,-2.575976166,,a,0.1
312.42,20,19.4808,2.124,0.041564,154.4419,66.0854,0.396007,24.8421,21.6419,63.2255,222.2603,0.526,0.318787879,1.395188306,-2.542295301,,m,2
312.5724,20,19.1916,2.1201,0.0385335,155.0832,66.1331,0.397981,24.898,21.9602,63.4229,222.1965,0.5299,0.321151515,1.396164463,-2.5294626,,n,2
312.7248,20,18.775,2.123,0.0300444,155.4359,66.9714,0.400847,24.781,22.1405,63.6229,222.0622,0.527,0.319393939,1.394118828,-2.538995817,,Rw,0.6
312.8772,20,18.3584,2.1258,0.0215554,155.7886,67.8096,0.403713,24.6641,22.3207,63.8229,221.9279,0.5242,0.31769697,1.392065273,-2.548250211,,,
313.0296,20,18.025,2.129,0.015615,155.7964,68.6825,0.407183,24.6337,22.4845,64.0214,221.8458,0.521,0.315757576,1.391529648,-2.558887384,,,
313.182,20,18.0371,2.1332,0.0202482,154.3732,69.6991,0.41316,24.9627,22.58,64.2133,221.9801,0.5168,0.313212121,1.397291557,-2.572948258,,,
313.3344,20,18.0491,2.1375,0.0248814,152.95,70.7157,0.419137,25.2918,22.6754,64.4052,222.1144,0.5125,0.310606061,1.402979739,-2.587462799,,,
313.4868,20,18.0612,2.1418,0.0295146,151.5268,71.7323,0.425114,25.6208,22.7709,64.5971,222.2486,0.5082,0.308,1.408592686,-2.602099635,,,
313.6392,20,18.0688,2.1379,0.0262951,149.3751,67.9877,0.433893,25.6938,22.7308,64.5402,222.2603,0.5121,0.310363636,1.409828339,-2.588819174,,,
313.7916,20,18.076,2.1332,0.0223311,147.1543,63.7916,0.442938,25.7426,22.6778,64.4597,222.2603,0.5168,0.313212121,1.410652408,-2.572948258,,,
313.944,20,18.0832,2.1286,0.018367,144.9335,59.5954,0.451984,25.7914,22.6248,64.3793,222.2603,0.5214,0.316,1.411474917,-2.55755417,,,
314.0964,20,18.0684,2.1227,0.0272622,143.8011,59.4997,0.452591,25.8694,22.738,64.3195,221.9768,0.5273,0.319575758,1.412786356,-2.538007192,,,
314.2488,20,18.0408,2.1163,0.0436274,143.301,61.7859,0.448296,25.9642,22.9476,64.2717,221.5286,0.5337,0.323454545,1.414374946,-2.517049466,,,
